GeneName	SAMN15636466	SAMN15636467	SAMN15636468	SAMN15636469	SAMN15636470	SAMN15636471
ADGRF4	26	24	25	23	16	21
ADGRF5	69	148	156	143	263	127
ADGRG1	1059	904	953	1074	1339	1345
ADGRG2	76	162	110	75	123	147
ADGRG3	118	236	116	738	598	59
ADGRG4	1	2	4	3	13	6
ADGRG5	37	60	41	260	137	43
ADGRG6	158	160	377	342	414	188
ADGRG7	0	0	0	0	0	0
ADGRL2	387	676	902	838	977	652
ADGRL3	331	421	464	466	644	489
ADGRL4	673	992	1625	1282	1832	796
ADGRV1	15	46	28	27	63	66
ADH1C	160	116	263	179	110	144
ADH4	5283	4537	3175	4477	4303	5953
ADH6	0	0	0	0	0	0
ADHFE1	236	200	161	208	209	150
ADI1	717	774	810	902	946	693
ADIPOQ	2402	1468	2761	1606	4076	2123
ADIPOR1	1351	1330	1100	1607	1248	1855
ADIPOR2	3941	4389	3862	4782	4028	5393
ADIRF	0	0	2	2	0	2
ADK	558	429	387	385	646	427
ADM	1029	1039	973	861	1085	1702
ADM2	25	15	24	44	17	43
ADMP	25	9	16	10	9	18
ADNP	1933	2883	3074	2686	3432	2529
ADNP2	809	1027	873	937	1257	1077
ADO	845	873	747	741	871	819
ADORA1	29	23	40	64	20	31
ADORA2A	246	434	458	758	680	495
ADORA2B	44	98	63	310	161	42
ADORA3	1	9	5	12	14	5
ADPGK	908	1214	1018	1400	1255	1552
ADPRH	1558	1525	2005	2225	2233	1673
ADPRHL	58	68	80	64	108	87
ADPRHL1	8	7	11	3	5	0
ADPRHL2	1218	1298	1213	1304	1351	1570
ADPRM	541	434	437	683	541	567
ADRA1A	1	1	0	1	3	2
ADRA1B	16	14	31	13	19	18
ADRA1D	1	9	7	2	28	5
ADRA2A	717	376	445	854	413	299
ADRA2B	92	93	73	90	58	82
ADRA2BL2	9	6	7	26	18	17
ADRA2C	109	192	71	104	170	251
ADRB1	51	62	65	37	60	57
ADRB2	154	137	165	418	349	174
ADRB3	49	14	4	26	18	22
ADRM1	1808	1403	1351	1673	1518	1768
ADSL	1720	1550	1058	1495	1580	2330
ADSS1	375	701	669	551	747	467
ADSS2	768	680	609	943	1063	658
ADTRP	0	0	4	4	11	7
AEBP1	7355	4594	5854	8372	6906	5645
AEBP2	173	208	227	198	238	124
AEN	538	457	314	483	339	634
AES	3886	3591	3514	3714	3426	4462
AFAP1	357	781	931	709	1067	653
AFAP1L1	529	482	634	1091	877	611
AFAP1L2	228	363	366	346	515	373
AFDN	2517	3724	3575	2999	3080	4855
AFF1	1243	1652	1730	1700	1629	1709
AFF2	633	1440	1460	1330	1806	1174
AFF3	14	13	14	16	44	10
AFF4	1190	2131	2445	2146	2666	1711
AFG1L	263	341	349	320	399	344
AFG3L2	1264	1363	1251	1219	1275	1481
AFMID	379	294	295	425	399	336
AFP	19	30	20	4	27	29
AFTPH	776	888	756	813	955	894
AGA	917	969	992	1151	1417	1009
AGAP1	1758	2745	2649	2360	2497	3427
AGAP3	1445	1314	1017	1306	1178	1631
AGBL1	346	280	185	225	315	537
AGBL2	36	19	17	8	29	25
AGBL3	8	4	10	3	18	13
AGBL5	665	639	481	740	590	940
AGFG1	3274	3253	2941	3613	2827	4504
AGGF1	405	377	360	334	296	378
AGK	1000	1133	777	1201	818	1148
AGL	714	1050	1049	917	1175	916
AGMAT	30	33	43	47	38	16
AGMO	12	36	19	10	17	32
AGO1	570	939	973	833	1104	922
AGO2	412	646	865	603	916	689
AGO3	2084	3313	2795	2913	3189	5300
AGO4	653	1377	1408	1656	1735	1173
AGPAT1	6	18	36	13	6	13
AGPAT2	2186	2133	1562	1989	2154	3057
AGPAT3	909	1208	1277	1136	1218	1337
AGPAT4	1505	1823	1581	1073	1243	1857
AGPAT5	1890	2033	1789	1571	1761	2760
AGPS	1125	1380	1105	1069	1303	1173
AGR2	24	48	21	20	26	69
AGR3	3	6	2	2	11	5
AGRN	3389	8572	7813	8946	8572	10065
