GeneName	SAMN15636466	SAMN15636467	SAMN15636468	SAMN15636469	SAMN15636470	SAMN15636471
LOC112533558	7	14	20	40	17	20
LOC112533561	6	8	14	25	13	69
LOC112533564	2	9	7	12	10	9
LOC112533565	17	19	19	22	43	40
LOC112533568	0	0	0	0	1	1
LOC112533570	0	0	0	0	0	0
LOC112533573	62	48	27	84	89	92
LOC112533582	7	16	4	4	28	9
LOC112533592	0	0	0	0	0	0
LOC112533598	2	0	0	0	0	0
LOC112533599	0	0	0	0	0	0
LOC112533600	0	0	0	0	0	0
LOC112533601	42	34	64	56	63	28
LOC112533602	0	0	0	0	0	0
LOC112533603	0	0	0	0	0	0
LOC112533636	1	1	0	0	0	1
LOC114977882	126	181	174	204	228	111
LOC117654556	237	174	129	83	143	451
LOC119712953	387	391	486	484	758	514
LOC119771270	10	34	33	18	58	15
LOC120017337	37	40	34	256	89	38
LOC121106427	3	6	6	0	12	2
LOC121106428	0	3	1	0	0	1
LOC121106429	0	0	0	0	0	0
LOC121106430	0	0	0	0	0	0
LOC121106431	0	6	16	1	2	0
LOC121106432	1	0	2	0	1	0
LOC121106433	173	65	36	119	146	83
LOC121106434	0	0	0	0	0	0
LOC121106435	0	0	0	0	0	0
LOC121106436	15	1335	578	17	1290	451
LOC121106437	0	1	3	0	0	2
LOC121106438	49	25	42	57	13	19
LOC121106439	0	0	0	0	0	0
LOC121106441	53	5	15	24	43	56
LOC121106442	0	0	0	0	0	0
LOC121106443	0	0	0	0	0	0
LOC121106444	375	183	340	510	488	270
LOC121106446	339	629	544	852	758	637
LOC121106447	1	3	12131	109	68	6
LOC121106448	692	970	1043	628	1111	840
LOC121106449	2	32	8	15	33	11
LOC121106450	0	0	0	0	0	0
LOC121106452	71	26	43	96	46	79
LOC121106454	3	5	8	9	11	13
LOC121106455	524	783	765	851	841	869
LOC121106456	231	370	190	218	269	637
LOC121106457	81	159	142	275	180	115
LOC121106459	10	4	11	3	5	6
LOC121106460	0	0	0	0	0	0
LOC121106461	145	263	352	257	344	220
LOC121106462	8	13	7	13	16	13
LOC121106463	9	9	4	15	8	4
LOC121106464	0	0	0	0	0	0
LOC121106465	3	0	0	1	0	3
LOC121106466	0	0	0	0	0	0
LOC121106467	0	0	0	0	0	0
LOC121106468	0	1	0	0	0	0
LOC121106469	366	319	0	388	31	528
LOC121106470	11	5	7	15	8	14
LOC121106471	0	33	27	13	17	10
LOC121106472	33	8	3	8	1	12
LOC121106473	5	2	1	6	0	1
LOC121106474	0	3	1	2	1	1
LOC121106475	8	4	3	8	107	8
LOC121106476	0	0	0	0	0	0
LOC121106477	34	20	51	40	23	26
LOC121106478	1	1	5	1	2	1
LOC121106479	1	0	0	0	0	0
LOC121106480	0	37	2	0	0	0
LOC121106481	3	8	1	5	2	13
LOC121106482	331	478	328	297	423	587
LOC121106483	0	1	0	0	0	0
LOC121106484	0	0	0	0	0	0
LOC121106485	501	429	384	414	229	176
LOC121106486	0	0	0	1	1	0
LOC121106487	0	0	0	0	0	0
LOC121106488	0	0	1	0	0	0
LOC121106489	4	0	1	3	0	2
LOC121106490	0	0	0	0	0	0
LOC121106491	0	0	0	1	0	0
LOC121106492	0	0	0	0	0	0
LOC121106493	0	0	0	0	0	0
LOC121106494	0	0	0	0	0	0
LOC121106495	0	0	0	0	0	0
LOC121106496	0	0	1	0	0	0
LOC121106497	0	0	0	0	0	0
LOC121106498	0	1	1	1	0	2
LOC121106499	55	43	46	29	63	21
LOC121106500	13	9	4	43	9	25
LOC121106501	181	162	108	94	249	183
LOC121106502	3	8	8	2	2	7
LOC121106503	0	4	1	0	1	0
LOC121106505	1	0	0	1	0	1
LOC121106506	0	0	0	0	0	0
LOC121106507	0	0	0	0	0	0
LOC121106508	0	0	0	0	0	0
LOC121106509	2	0	1	5	1	1
LOC121106510	12	6	0	7	4	0
LOC121106511	0	0	0	0	0	0
LOC121106512	0	2	0	7	2	2
LOC121106513	0	0	0	0	0	0
LOC121106514	0	11	0	22	3	1
LOC121106515	211	182	297	87	229	13
LOC121106516	0	0	0	0	0	0
LOC121106517	0	0	0	0	0	0
LOC121106518	0	0	0	0	0	0
LOC121106519	1602	812	516	1719	1051	1512
LOC121106520	2	0	0	0	1	1
LOC121106521	0	0	0	0	0	0
LOC121106522	0	0	0	0	0	0
LOC121106523	0	0	0	0	0	0
LOC121106524	0	0	0	0	0	0
LOC121106525	0	0	0	0	0	0
LOC121106526	0	0	0	0	0	0
LOC121106527	0	0	0	0	0	0
LOC121106528	0	0	0	0	0	0
LOC121106530	1	1	3	0	0	0
LOC121106531	2	13	5	5	8	3
LOC121106532	19	8	7	7	4	4
LOC121106533	0	0	0	0	0	0
LOC121106534	116	120	81	79	109	130
LOC121106535	0	0	0	2	0	0
LOC121106536	81	60	34	24	47	66
LOC121106538	2	2	4	3	3	7
LOC121106543	359	198	201	151	260	266
LOC121106544	0	0	0	0	0	0
LOC121106545	0	0	0	0	0	0
LOC121106546	0	0	0	0	0	0
LOC121106547	0	4	0	0	0	0
LOC121106549	7	0	0	0	0	0
LOC121106550	1	3	0	5	4	13
LOC121106551	3	10	5	6	6	2
LOC121106552	34	30	21	6	40	84
LOC121106553	6	2	5	2	6	18
LOC121106554	0	11	3	2	11	11
LOC121106555	0	2	0	0	0	0
LOC121106556	9	11	9	4	10	2
LOC121106557	0	0	0	0	0	0
LOC121106558	0	0	0	0	0	0
LOC121106559	0	1	0	0	0	2
LOC121106560	0	0	0	0	0	0
LOC121106561	0	1	0	0	0	1
LOC121106562	11	10	2	3	12	16
LOC121106563	7	16	2	7	6	19
LOC121106564	2	10	8	5	7	8
LOC121106565	28	28	14	17	40	56
LOC121106566	0	0	0	0	0	0
LOC121106567	0	0	0	0	1	0
LOC121106568	0	0	0	0	0	0
LOC121106569	1	0	0	0	0	2
LOC121106570	0	0	0	0	0	0
LOC121106571	0	0	0	0	0	0
LOC121106572	31	11	20	29	20	16
LOC121106573	0	0	0	0	0	0
LOC121106574	0	1	4	7	4	1
LOC121106575	0	2	0	0	0	1
LOC121106576	0	2	4	1	5	4
LOC121106577	2	0	1	1	1	1
LOC121106578	1	2	2	0	2	2
LOC121106579	0	0	0	0	0	0
LOC121106580	4	2	3	2	6	5
LOC121106581	0	0	0	0	0	1
LOC121106582	11	5	8	12	8	4
LOC121106583	0	16	16	24	45	3
LOC121106584	0	0	0	0	0	2
LOC121106585	20	16	15	14	26	16
LOC121106586	0	0	1	0	0	0
LOC121106587	0	0	0	2	4	1
LOC121106588	7	1	2	2	2	2
LOC121106589	0	0	0	0	0	0
LOC121106590	0	0	0	0	0	0
LOC121106591	0	1	0	0	0	0
LOC121106592	0	0	0	0	0	0
LOC121106593	0	1	1	0	0	0
LOC121106594	0	3	1	2	0	4
LOC121106595	0	0	1	0	0	0
LOC121106596	0	2	2	4	5	2
LOC121106597	43	21	34	29	44	27
LOC121106598	3	0	0	2	2	1
LOC121106599	42	56	46	27	43	48
LOC121106600	13	4	9	5	9	2
LOC121106601	0	0	0	0	0	0
LOC121106602	5	4	3	7	3	5
LOC121106603	0	3	8	1	2	1
LOC121106604	8	7	13	10	17	7
LOC121106605	3	3	2	4	4	3
LOC121106606	22	18	5	20	15	32
LOC121106607	7	3	0	8	5	4
LOC121106608	1	1	3	2	8	3
LOC121106609	0	0	0	0	0	0
LOC121106610	1	3	1	0	0	1
LOC121106611	1740	126	276	356	36	250
LOC121106612	184	328	390	432	487	302
LOC121106613	0	0	0	0	0	3
LOC121106614	0	0	0	3	2	1
LOC121106615	57	35	81	40	84	55
LOC121106616	1	1	8	24	6	16
LOC121106617	1	1	3	37	3	6
LOC121106618	0	0	0	0	0	0
LOC121106619	10	19	11	34	10	34
LOC121106620	4	4	4	7	12	17
LOC121106621	77	70	43	38	89	100
LOC121106622	0	0	1	2	1	0
LOC121106623	1313	494	63	674	17	408
LOC121106624	8	6	4	5	0	19
LOC121106625	850	420	365	1283	181	367
LOC121106626	220	0	0	0	8	0
LOC121106627	2	0	0	0	2	0
LOC121106628	0	0	0	0	0	0
LOC121106629	0	0	0	1	1	0
LOC121106630	0	0	0	1	0	0
LOC121106631	13	16	31	6	21	25
LOC121106632	0	0	0	0	0	0
LOC121106633	0	0	0	0	0	0
LOC121106634	0	0	0	1	0	1
LOC121106635	2	2	6	4	4	4
LOC121106636	1	2	15	28	9	11
LOC121106637	12	14	1	16	13	25
LOC121106638	3	0	0	4	0	0
LOC121106639	3	3	1	1	4	4
LOC121106640	0	0	0	0	0	0
LOC121106641	0	0	0	0	0	0
LOC121106642	1	1	0	0	0	0
LOC121106643	0	0	0	0	0	0
LOC121106644	0	0	0	0	0	0
LOC121106645	19	53	12	18	34	62
LOC121106646	11	23	24	19	21	16
LOC121106647	1	1	5	0	1	3
LOC121106648	1	1	2	1	0	1
LOC121106649	5	3	4	2	6	8
LOC121106650	5	0	2	6	1	1
LOC121106651	60	23	49	49	48	33
LOC121106652	11	20	9	24	22	15
LOC121106653	0	0	0	0	0	0
LOC121106654	0	0	0	0	0	0
LOC121106655	0	0	0	0	0	0
LOC121106656	40	38	46	106	92	47
LOC121106657	39	114	36	45	187	72
LOC121106658	16	12	24	41	34	33
LOC121106659	0	1	0	4	0	0
LOC121106660	1	1	0	2	6	4
LOC121106661	1	2	1	0	0	0
LOC121106662	0	0	0	1	0	0
LOC121106663	0	0	0	0	0	0
LOC121106664	62	65	37	45	96	51
LOC121106665	1	1	1	2	1	3
LOC121106666	11	17	10	14	25	8
LOC121106667	7	10	8	5	23	26
LOC121106668	36	10	10	18	12	10
LOC121106669	4	29	25	30	28	44
LOC121106670	13	22	7	3	13	36
LOC121106671	2	6	14	2	12	9
LOC121106672	1	5	6	4	12	9
LOC121106673	0	0	0	3	0	0
LOC121106674	24	18	34	21	37	16
LOC121106675	3	37	13	47	59	29
LOC121106676	3	3	4	2	0	1
LOC121106677	1	1	1	0	4	2
LOC121106678	2	7	2	8	12	3
LOC121106679	93	91	92	257	200	59
LOC121106680	12	0	1	0	0	0
LOC121106681	6	5	7	9	7	1
LOC121106682	1	3	2	0	1	0
LOC121106683	31	24	32	23	25	26
LOC121106684	0	1	1	0	1	2
LOC121106685	2	0	0	0	1	0
LOC121106686	0	0	0	1	0	0
LOC121106687	0	0	0	0	0	0
LOC121106688	2	2	1	3	0	0
LOC121106689	1	0	0	0	0	4
LOC121106690	0	0	0	0	0	2
LOC121106691	6	16	0	12	2	12
LOC121106692	8	4	9	8	1	12
LOC121106693	17	4	6	7	12	8
LOC121106694	40	53	10	25	66	41
LOC121106695	139	193	83	128	147	298
LOC121106696	145	136	40	128	53	141
LOC121106697	111	124	67	125	125	229
LOC121106698	0	0	1	0	0	0
LOC121106699	3	1	5	4	3	2
LOC121106700	0	0	0	3	0	0
LOC121106701	0	5	2	0	8	2
LOC121106702	86	156	95	77	185	156
LOC121106703	20	14	19	12	21	22
LOC121106704	0	0	0	1	3	0
LOC121106705	0	2	4	2	3	2
LOC121106706	252	349	241	276	396	298
LOC121106707	2	1	0	0	2	1
LOC121106708	0	0	0	0	4	0
LOC121106709	0	0	0	0	0	0
LOC121106710	6235	2411	3474	4265	2627	3756
LOC121106711	1	4	11	5	7	2
LOC121106712	60	125	83	102	123	115
LOC121106713	0	10	0	4	2	1
LOC121106714	0	0	0	0	0	0
LOC121106715	3	3	0	1	1	1
LOC121106716	0	1	0	2	3	7
LOC121106717	18	7	13	25	65	23
LOC121106718	74	94	144	106	94	83
LOC121106719	11	30	11	39	32	50
LOC121106720	5	17	4	13	13	11
LOC121106721	1	0	1	1	1	0
LOC121106722	12	9	6	10	8	18
LOC121106723	0	7	1	2	1	5
LOC121106724	12	11	4	16	23	14
LOC121106725	25	14	5	12	20	4
LOC121106726	0	0	1	3	2	0
LOC121106727	0	0	0	0	1	0
LOC121106728	0	0	0	0	0	0
LOC121106729	0	0	0	2	0	1
LOC121106730	0	4	4	0	1	0
LOC121106731	4	0	1	2	1	2
LOC121106732	85	163	88	75	105	24
LOC121106733	11	13	29	10	26	26
LOC121106734	0	2	0	0	0	0
LOC121106735	0	0	0	0	0	0
LOC121106736	51	33	29	43	27	49
LOC121106737	2	2	3	0	7	15
LOC121106738	74	75	77	97	126	83
LOC121106739	17	22	8	10	20	24
LOC121106740	0	1	1	0	0	3
LOC121106741	0	8	0	0	4	7
LOC121106742	49	54	35	42	86	131
LOC121106743	0	2	0	0	0	2
LOC121106744	9	19	1	12	12	14
LOC121106745	11	13	11	3	9	8
LOC121106746	3	4	5	4	10	5
LOC121106747	0	2	5	3	6	1
LOC121106748	14	16	4	13	9	14
LOC121106749	1	0	0	2	0	3
LOC121106750	25	50	44	59	57	58
LOC121106751	92	179	113	112	136	275
LOC121106752	0	0	0	1	0	0
LOC121106753	0	0	1	0	0	1
LOC121106754	19	16	6	6	19	43
LOC121106755	0	0	0	0	0	0
LOC121106756	0	0	0	0	0	0
LOC121106757	0	1	0	0	0	0
LOC121106758	104	73	70	71	104	45
LOC121106759	208	205	199	159	281	236
LOC121106760	0	0	0	2	0	0
LOC121106761	20	8	2	4	1	4
LOC121106762	4	16	6	13	19	12
LOC121106763	0	0	0	0	1	0
LOC121106764	1	0	7	3	10	2
LOC121106765	0	0	0	0	0	0
LOC121106766	0	0	1	0	0	0
LOC121106767	3	3	1	2	2	0
LOC121106768	7	6	3	6	3	3
LOC121106769	42	15	42	12	14	231
LOC121106770	5	10	5	6	16	12
LOC121106771	0	0	0	0	0	0
LOC121106772	8	4	2	4	3	2
LOC121106773	1	0	0	0	1	0
LOC121106774	0	0	0	0	0	0
LOC121106775	0	0	0	0	0	0
LOC121106776	0	0	0	2	0	2
LOC121106777	1	2	0	0	5	5
LOC121106778	13	22	7	8	10	23
LOC121106779	21	11	10	14	19	41
LOC121106780	86	54	44	66	54	43
LOC121106781	0	0	0	2	5	1
LOC121106782	1	0	0	1	2	2
LOC121106783	0	0	1	0	2	1
LOC121106784	0	0	0	0	0	0
LOC121106785	0	0	0	0	0	0
LOC121106786	0	0	0	0	0	0
LOC121106787	0	0	0	0	0	0
LOC121106788	0	0	0	0	0	0
LOC121106789	0	0	0	0	0	0
LOC121106790	1	1	0	4	1	5
LOC121106791	0	0	0	0	0	0
LOC121106792	170	105	54	174	73	10
LOC121106793	3	9	9	4	14	15
LOC121106794	0	0	0	0	0	0
LOC121106795	66	103	131	102	175	100
LOC121106796	29	40	18	29	52	57
LOC121106797	2	2	13	0	7	6
LOC121106798	6	10	2	3	2	5
LOC121106799	0	0	1	1	0	0
LOC121106800	5	1	4	9	6	4
LOC121106801	0	0	0	0	0	0
LOC121106802	67	56	42	39	70	100
LOC121106803	15	22	19	16	18	34
LOC121106804	0	0	0	0	0	0
LOC121106805	0	0	0	0	0	0
LOC121106806	0	0	0	0	1	0
LOC121106807	23	37	16	36	23	44
LOC121106808	1	2	0	0	0	0
LOC121106809	0	0	0	0	0	0
LOC121106810	0	0	0	0	0	0
LOC121106811	12	64	16	29	15	1
LOC121106812	207	349	133	163	129	116
LOC121106813	847	790	626	740	647	940
LOC121106814	26	39	47	54	30	25
LOC121106815	0	0	0	0	0	0
LOC121106816	1	2	0	0	2	0
LOC121106817	4	4	4	2	6	0
LOC121106818	0	2	1	7	1	0
LOC121106819	0	0	0	0	0	0
LOC121106820	0	0	0	0	0	0
LOC121106821	0	0	0	0	0	0
LOC121106822	0	0	0	0	0	0
LOC121106823	0	0	0	0	0	0
LOC121106824	0	0	0	0	0	0
LOC121106825	0	10	0	6	3	0
LOC121106826	87	305	474	188	140	254
LOC121106827	0	0	0	0	0	0
LOC121106828	5	1	1	4	15	4
LOC121106829	0	5	3	4	0	2
LOC121106830	2	1	1	2	3	0
LOC121106831	1	0	3	1	2	1
LOC121106832	0	1	0	0	3	1
LOC121106833	0	1	1	0	0	1
LOC121106834	2	3	3	0	2	0
LOC121106835	0	0	0	0	4	2
LOC121106836	0	0	2	1	2	0
LOC121106837	2	0	1	0	0	0
LOC121106838	0	0	0	0	0	0
LOC121106839	0	0	2	1	1	3
LOC121106840	8	5	11	7	8	2
LOC121106841	3	10	8	6	7	8
LOC121106842	2	2	2	0	1	0
LOC121106843	1	7	9	3	17	8
LOC121106844	0	0	0	0	0	0
LOC121106845	0	0	0	0	0	0
LOC121106846	0	0	0	0	0	0
LOC121106847	0	0	0	0	0	0
LOC121106848	0	1	1	1	2	1
LOC121106849	2	4	11	7	12	2
LOC121106850	241	353	231	3790	386	371
LOC121106851	32	11	17	23	20	11
LOC121106852	24	29	43	344	30	29
LOC121106853	0	0	2	1	2	0
LOC121106854	0	0	0	0	0	0
LOC121106855	2	1	13	1	16	6
LOC121106856	12	22	6	13	13	10
LOC121106857	0	0	0	1	1	2
LOC121106858	0	0	0	0	0	0
LOC121106859	4	1	2	4	3	0
LOC121106860	31	9	4	9	4	14
LOC121106861	0	0	0	0	0	0
LOC121106862	5	7	13	12	22	14
LOC121106863	3	6	5	6	14	14
LOC121106864	0	1	1	0	0	0
LOC121106865	1	2	1	0	2	0
LOC121106866	0	0	1	0	0	0
LOC121106867	9	6	2	5	15	6
LOC121106868	0	0	2	0	1	2
LOC121106869	1	7	1	1	7	11
LOC121106870	0	0	0	0	0	4
LOC121106871	0	0	0	0	0	0
LOC121106872	10	12	2	22	14	25
LOC121106873	2	0	1	0	0	0
LOC121106874	16	37	26	20	84	14
LOC121106875	2	2	5	2	3	0
LOC121106876	7	15	20	18	24	16
LOC121106877	61	87	59	64	93	101
LOC121106878	241	158	168	120	152	108
LOC121106879	5	1	1	4	2	2
LOC121106880	0	3	0	1	0	3
LOC121106881	274	558	289	248	431	224
LOC121106882	502	288	285	215	253	286
LOC121106883	0	2	1	0	0	2
LOC121106884	5	3	2	2	10	11
LOC121106885	0	0	0	0	0	0
LOC121106886	1	4	1	3	0	4
LOC121106887	0	0	1	1	0	0
LOC121106888	0	1	2	2	1	0
LOC121106889	0	0	0	0	0	1
LOC121106890	2	6	2	4	7	14
LOC121106891	20	28	34	31	228	41
LOC121106892	11	5	5	3	4	1
LOC121106893	0	0	0	0	0	0
LOC121106894	15	5	17	12	37	30
LOC121106895	50	81	14	76	77	38
LOC121106896	12	17	45	34	22	9
LOC121106897	17	33	36	28	30	19
LOC121106898	2	1	0	1	1	1
LOC121106899	0	0	0	0	0	0
LOC121106900	0	0	0	0	0	0
LOC121106901	0	0	0	0	0	0
LOC121106902	0	0	0	0	0	0
LOC121106903	0	0	0	0	0	0
LOC121106904	0	0	0	0	0	0
LOC121106905	1	0	0	0	0	0
LOC121106906	0	0	0	0	0	0
LOC121106907	0	0	0	0	0	0
LOC121106908	0	0	0	0	0	0
LOC121106909	0	0	0	0	0	0
LOC121106910	0	0	0	0	0	0
LOC121106911	0	0	0	0	0	0
LOC121106912	1	7	1	3	1	0
LOC121106913	767	569	614	958	732	417
LOC121106914	15	21	27	11	15	14
LOC121106915	1275	1005	1153	1367	1119	1162
LOC121106916	730	632	534	754	593	771
LOC121106917	0	0	0	0	0	0
LOC121106918	6	2	4	5	15	28
LOC121106919	102	133	90	111	112	184
LOC121106920	1	6	12	0	4	3
LOC121106921	149	180	86	121	194	240
LOC121106922	510	51	35	324	7	293
LOC121106923	0	0	0	2	0	0
LOC121106924	0	3	0	0	3	0
LOC121106925	0	3	2	7	0	2
LOC121106926	2	11	3	12	8	2
LOC121106927	0	0	1	2	0	4
LOC121106928	28	65	9	101	10	42
LOC121106929	0	0	0	0	0	0
LOC121106930	0	0	0	0	0	0
LOC121106931	0	0	0	0	0	0
LOC121106932	150	121	97	155	90	136
LOC121106933	57	50	47	59	35	54
LOC121106934	12	55	27	23	20	70
LOC121106935	2	1	2	4	3	0
LOC121106936	2	2	22	2	4	2
LOC121106937	0	0	0	0	0	0
LOC121106938	2	2	0	1	2	0
LOC121106939	0	2	0	1	3	0
LOC121106940	0	3	0	0	0	1
LOC121106941	747	476	455	773	708	623
LOC121106942	9	9	21	12	19	5
LOC121106943	2	3	5	0	1	0
LOC121106944	0	3	0	0	0	1
LOC121106945	0	0	0	0	0	0
LOC121106946	1	0	0	0	0	0
LOC121106947	2	1	11	3	0	0
LOC121106948	0	0	0	0	0	0
LOC121106949	0	0	0	0	0	0
LOC121106950	0	0	0	0	0	0
LOC121106951	0	0	0	0	0	0
LOC121106952	12	9	9	9	2	5
LOC121106953	222	66	102	122	97	444
LOC121106954	0	0	0	0	0	0
LOC121106955	3	1	0	0	10	0
LOC121106956	2	4	2	9	0	1
LOC121106957	22	13	3	20	21	20
LOC121106958	1	37	30	27	19	15
LOC121106959	2	16	19	13	9	13
LOC121106960	0	0	0	0	0	0
LOC121106961	0	0	0	0	0	0
LOC121106962	1	0	0	1	0	0
LOC121106963	1	1	0	0	0	0
LOC121106964	5	0	3	7	1	0
LOC121106965	16	19	51	16	5	8
LOC121106966	0	0	2	0	1	0
LOC121106967	0	0	1	0	0	0
LOC121106968	2	4	0	0	0	1
LOC121106969	6	2	9	1	1	2
LOC121106970	1	1	1	5	0	0
LOC121106971	0	0	1	3	0	0
LOC121106972	0	0	0	0	0	0
LOC121106973	0	0	0	0	0	0
LOC121106974	137	90	73	37	33	94
LOC121106975	0	0	0	0	0	0
LOC121106976	0	0	0	0	0	0
LOC121106977	0	0	0	0	0	0
LOC121106978	55	49	71	54	60	25
LOC121106979	1	0	3	0	1	0
LOC121106980	2	0	1	1	1	4
LOC121106981	2	3	1	0	4	0
LOC121106982	0	0	0	0	0	0
LOC121106983	0	0	0	0	0	0
LOC121106984	0	0	0	0	0	0
LOC121106985	0	0	0	0	0	0
LOC121106986	0	0	0	0	0	0
LOC121106987	0	0	0	0	0	0
LOC121106988	0	0	0	0	0	0
LOC121106989	0	0	0	0	0	0
LOC121106990	0	0	0	0	0	0
LOC121106991	0	0	0	0	0	0
LOC121106992	0	0	0	0	0	0
LOC121106993	0	0	0	0	0	0
LOC121106994	0	0	0	0	0	0
LOC121106995	0	0	0	0	0	0
LOC121106996	0	0	0	0	0	0
LOC121106997	3	0	0	0	0	0
LOC121106998	0	0	0	0	0	0
LOC121106999	3	5	4	1	9	4
LOC121107000	0	0	0	0	0	0
LOC121107001	0	0	0	0	0	0
LOC121107002	0	0	0	0	0	0
LOC121107003	0	0	0	0	0	0
LOC121107004	0	0	0	0	0	0
LOC121107005	0	0	0	0	0	0
LOC121107006	0	0	0	0	0	0
LOC121107007	0	0	0	0	0	0
LOC121107008	2	1	2	1	1	1
LOC121107009	0	0	0	0	0	0
LOC121107010	0	0	2	0	1	0
LOC121107011	2	0	0	0	1	1
LOC121107012	0	0	0	0	0	0
LOC121107013	0	4	2	1	0	1
LOC121107014	2	6	0	3	5	2
LOC121107015	0	0	0	0	0	0
LOC121107016	0	0	0	0	0	0
LOC121107017	0	0	0	0	0	0
LOC121107018	0	0	0	0	0	0
LOC121107019	0	0	0	0	0	0
LOC121107020	0	0	0	0	0	0
LOC121107021	0	0	0	0	0	0
LOC121107022	0	0	0	0	0	0
LOC121107023	0	0	0	0	0	0
LOC121107025	9	3	4	4	7	2
LOC121107026	0	0	0	0	0	0
LOC121107027	0	0	0	0	0	0
LOC121107028	0	0	0	0	0	0
LOC121107029	0	0	0	0	0	0
LOC121107030	2	0	0	0	0	0
LOC121107031	0	0	0	0	0	0
LOC121107032	4	2	4	7	7	1
LOC121107033	1	1	3	3	6	11
LOC121107034	0	0	0	0	0	0
LOC121107035	0	0	0	0	0	0
LOC121107036	0	0	0	0	0	0
LOC121107037	0	0	0	0	0	0
LOC121107038	0	0	0	0	0	0
LOC121107039	0	0	0	1	0	0
LOC121107040	0	2	0	3	2	0
LOC121107041	0	1	0	0	0	0
LOC121107042	0	0	0	0	0	0
LOC121107043	2	4	0	1	8	11
LOC121107044	4	2	0	0	1	0
LOC121107045	0	1	0	2	0	0
LOC121107046	0	0	0	0	0	0
LOC121107047	0	0	0	0	0	0
LOC121107048	0	0	0	0	0	0
LOC121107049	0	0	0	0	1	0
LOC121107050	54	71	30	58	83	105
LOC121107051	3	11	8	7	9	5
LOC121107052	1	0	0	5	0	4
LOC121107053	0	0	0	2	0	0
LOC121107054	0	3	1	0	0	0
LOC121107055	14	5	5	11	6	19
LOC121107056	0	5	8	1	0	2
LOC121107057	18	10	10	30	10	26
LOC121107058	18	16	82	7	32	20
LOC121107059	3	0	11	0	1	4
LOC121107060	10	16	11	4	15	10
LOC121107061	64	70	26	49	23	128
LOC121107062	0	1	1	5	0	1
LOC121107063	0	0	0	0	0	0
LOC121107064	0	1	0	0	0	1
LOC121107065	5	0	1	0	0	2
LOC121107066	0	1	0	0	0	0
LOC121107067	1	0	0	0	0	0
LOC121107068	2	0	0	0	0	0
LOC121107069	2	2	0	0	0	0
LOC121107070	1	0	2	1	0	1
LOC121107071	16	15	9	6	4	10
LOC121107072	0	4	0	0	0	0
LOC121107073	7	1	4	1	1	12
LOC121107074	1	4	0	2	2	3
LOC121107075	12	0	0	0	0	4
LOC121107076	6	9	2	3	0	0
LOC121107077	1	2	0	0	0	1
LOC121107078	7	1	1	4	0	1
LOC121107079	2	2	0	2	1	3
LOC121107080	1	7	0	1	1	1
LOC121107081	13	9	1	2	0	9
LOC121107082	10	8	1	8	6	3
LOC121107083	2	6	2	2	1	4
LOC121107084	1	1	0	2	2	1
LOC121107085	10	15	0	4	7	8
LOC121107086	18	17	2	15	9	8
LOC121107087	1	0	0	0	1	0
LOC121107088	0	0	0	1	2	0
LOC121107089	19	21	15	11	29	79
LOC121107090	201	121	181	94	157	92
LOC121107091	0	0	0	0	0	0
LOC121107092	0	0	0	0	0	0
LOC121107093	25	17	7	6	26	36
LOC121107094	0	0	0	0	0	0
LOC121107095	26	26	5	37	5	55
LOC121107096	7	4	4	6	7	7
LOC121107097	1	7	4	3	1	0
LOC121107098	3	3	10	4	7	3
LOC121107099	8	4	11	5	21	10
LOC121107100	30	41	53	73	156	21
LOC121107101	95	34	60	41	56	35
LOC121107102	69	93	37	225	48	20
LOC121107103	5	4	4	3	2	18
LOC121107104	13	4	1	6	3	2
LOC121107105	2	7	1	5	2	3
LOC121107106	4	2	7	3	6	5
LOC121107107	0	0	0	3	0	0
LOC121107108	0	0	0	4	0	0
LOC121107109	14	14	11	11	19	23
LOC121107110	2	2	1	0	3	2
LOC121107111	0	0	0	1	1	1
LOC121107112	14	36	24	17	30	34
LOC121107113	1	0	1	5	2	0
LOC121107114	6	5	3	6	3	1
LOC121107115	0	5	1	7	1	2
LOC121107117	33	60	76	37	64	34
LOC121107118	0	0	0	0	0	0
LOC121107119	8	19	14	23	21	31
LOC121107120	2	1	6	28	32	9
LOC121107121	13	6	7	13	14	29
LOC121107122	53	130	63	69	140	117
LOC121107123	3	2	1	2	3	4
LOC121107124	2	10	7	5	21	10
LOC121107125	0	0	0	0	0	1
LOC121107126	4	21	18	11	32	11
LOC121107127	0	1	2	2	2	0
LOC121107128	3	0	1	3	1	0
LOC121107129	4	3	1	7	16	3
LOC121107130	0	0	1	0	3	4
LOC121107131	0	0	0	0	0	1
LOC121107132	0	2	1	0	0	0
LOC121107133	0	0	4	0	3	3
LOC121107134	0	0	0	2	0	0
LOC121107135	2	0	2	4	3	4
LOC121107136	18	18	20	15	20	15
LOC121107137	0	0	0	0	0	0
LOC121107138	0	0	0	0	0	0
LOC121107139	30	30	314	306	117	151
LOC121107140	3	7	6	4	6	12
LOC121107141	190	129	167	180	212	124
LOC121107142	6	2	0	1	8	0
LOC121107143	0	0	0	0	0	0
LOC121107144	13	26	12	9	19	13
LOC121107145	0	0	0	0	0	0
LOC121107146	30	22	20	15	48	19
LOC121107147	3	0	3	3	2	0
LOC121107148	34	30	23	27	41	22
LOC121107149	1	0	0	1	0	2
LOC121107150	0	0	0	0	0	0
LOC121107151	0	0	0	0	0	0
LOC121107152	0	0	0	0	0	0
